127.0.0.1 - - [18/Mar/2017:10:44:38 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:44:49 +0530] "GET /ShoeRack/ HTTP/1.1" 200 9108
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:44:50 +0530] "GET /ShoeRack/Resources/css/header.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:44:51 +0530] "GET /ShoeRack/Resources/Images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:44:51 +0530] "GET /ShoeRack/Resources/Images/mainBanner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:44:51 +0530] "GET /ShoeRack/Resources/Images/fi-male.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:44:51 +0530] "GET /ShoeRack/Resources/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:44:51 +0530] "GET /ShoeRack/Resources/Images/fi-female.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:44:51 +0530] "GET /ShoeRack/Resources/Images/shoes01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:44:51 +0530] "GET /ShoeRack/Resources/Images/shoes02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:44:51 +0530] "GET /ShoeRack/Resources/css/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:44:51 +0530] "GET /ShoeRack/Resources/Images/shoes03.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:46:13 +0530] "GET /ShoeRack/ HTTP/1.1" 200 9108
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:46:13 +0530] "GET /ShoeRack/Resources/css/header.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:46:14 +0530] "GET /ShoeRack/Resources/css/footer.css HTTP/1.1" 200 2095
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:46:14 +0530] "GET /ShoeRack/Resources/css/index.css HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:46:15 +0530] "GET /ShoeRack/Resources/Images/logo.png HTTP/1.1" 200 20234
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:46:15 +0530] "GET /ShoeRack/Resources/Images/mainBanner.jpg HTTP/1.1" 200 184116
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:46:15 +0530] "GET /ShoeRack/Resources/Images/fi-male.svg HTTP/1.1" 200 1409
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:46:15 +0530] "GET /ShoeRack/Resources/Images/fi-female.svg HTTP/1.1" 200 1925
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:46:15 +0530] "GET /ShoeRack/Resources/Images/shoes01.jpg HTTP/1.1" 200 207730
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:46:15 +0530] "GET /ShoeRack/Resources/Images/shoes02.jpg HTTP/1.1" 200 177679
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:46:15 +0530] "GET /ShoeRack/Resources/Images/shoes03.jpg HTTP/1.1" 200 113612
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:46:18 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:46:26 +0530] "GET /ShoeRack/login HTTP/1.1" 200 6149
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:46:26 +0530] "GET /ShoeRack/Resources/css/header.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:46:26 +0530] "GET /ShoeRack/Resources/Images/logo.png HTTP/1.1" 200 20234
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:46:26 +0530] "GET /ShoeRack/Resources/css/Login.css HTTP/1.1" 200 3108
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:46:26 +0530] "GET /ShoeRack/Resources/Images/mainBanner.jpg HTTP/1.1" 200 184116
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:46:26 +0530] "GET /ShoeRack/Resources/Images/fi-male.svg HTTP/1.1" 200 1409
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:46:26 +0530] "GET /ShoeRack/Resources/Images/fi-female.svg HTTP/1.1" 200 1925
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:46:39 +0530] "GET /ShoeRack/register HTTP/1.1" 200 12129
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:46:39 +0530] "GET /ShoeRack/Resources/css/header.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:46:39 +0530] "GET /ShoeRack/Resources/Images/logo.png HTTP/1.1" 200 20234
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:46:39 +0530] "GET /ShoeRack/Resources/Images/fi-female.svg HTTP/1.1" 200 1925
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:46:40 +0530] "GET /ShoeRack/Resources/Images/fi-male.svg HTTP/1.1" 200 1409
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:46:40 +0530] "GET /ShoeRack/Resources/Images/mainBanner.jpg HTTP/1.1" 200 184116
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:46:43 +0530] "GET /ShoeRack/login HTTP/1.1" 200 6149
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:46:43 +0530] "GET /ShoeRack/Resources/css/Login.css HTTP/1.1" 200 3108
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:46:43 +0530] "GET /ShoeRack/Resources/css/header.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:46:43 +0530] "GET /ShoeRack/Resources/Images/logo.png HTTP/1.1" 200 20234
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:46:43 +0530] "GET /ShoeRack/Resources/Images/mainBanner.jpg HTTP/1.1" 200 184116
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:46:43 +0530] "GET /ShoeRack/Resources/Images/fi-male.svg HTTP/1.1" 200 1409
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:46:43 +0530] "GET /ShoeRack/Resources/Images/fi-female.svg HTTP/1.1" 200 1925
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:46:57 +0530] "POST /ShoeRack/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:46:57 +0530] "GET /ShoeRack/home HTTP/1.1" 200 9839
